"","total_claim_amount","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"2667",1844.67,0.5,"Maxi",7,7,"Yearly","No","WorkPrivate","92060","Yes",60,31,"F","M",41,13,7,1240,81,"Gasoline","NISSAN","MICRA",8,3,167,"Tourism",11100,965
"2668",1094.83,0.5,"Median2",13,6,"Quarterly","No","WorkPrivate","59041","Yes",75,27,"M","F",46,7,14,1149,59,"Gasoline","RENAULT","TWINGO",15,12,152,"Tourism",9620,823
"2669",-726.88,0.5,"Maxi",20,4,"Biannual","No","Professional","77268","No",43,0,"M","",21,0,4,2188,155,"Diesel","HYUNDAI","SANTA FE",5,2,179,"Tourism",34470,1869
"2670",136.16,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","73258","Yes",64,58,"M","F",45,39,9,1896,131,"Diesel","AUDI","A3",10,8,205,"Tourism",27940,1200
"2671",570.11,0.5,"Maxi",14,3,"Yearly","No","WorkPrivate","80368","Yes",43,41,"M","F",24,22,5,1461,106,"Diesel","RENAULT","MEGANE",6,5,185,"Tourism",21000,1260
"2672",11.86,0.5,"Maxi",9,1,"Monthly","No","WorkPrivate","21399","Yes",49,49,"F","M",30,31,3,1997,136,"Diesel","CITROEN","C5",3,3,200,"Tourism",31950,1655
"2673",3755.23,0.64,"Maxi",17,3,"Quarterly","No","WorkPrivate","77327","No",47,0,"M","",28,0,3,1149,59,"Gasoline","RENAULT","CLIO",10,8,160,"Tourism",11250,890
"2674",2805.54,0.5,"Maxi",21,2,"Yearly","No","Retired","29189","No",71,0,"F","",47,0,2,1560,90,"Diesel","PEUGEOT","207",5,2,182,"Tourism",18750,1205
"2675",92.09,0.57,"Maxi",13,1,"Biannual","No","Professional","75114","No",33,0,"M","",15,0,1,1000,71,"Gasoline","SMART","FORTWO",4,3,145,"Tourism",10100,750
"2676",1109.7,0.55,"Maxi",24,5,"Yearly","No","Professional","94068","Yes",61,61,"M","F",39,43,6,1461,66,"Diesel","RENAULT","CLIO",10,8,163,"Tourism",13050,960
"2677",2323.95,0.77,"Median2",1,1,"Yearly","No","WorkPrivate","94033","No",28,0,"M","",7,0,11,1390,75,"Gasoline","RENAULT","CLIO",12,11,170,"Tourism",11724,950
"2678",322.07,0.5,"Maxi",5,1,"Yearly","No","WorkPrivate","02497","No",42,0,"M","",23,0,4,1461,86,"Diesel","RENAULT","SCENIC",6,5,167,"Tourism",20550,1340
"2679",-99.71,0.5,"Maxi",7,1,"Yearly","No","WorkPrivate","89201","Yes",40,37,"M","F",20,18,2,1398,68,"Diesel","PEUGEOT","206",2,2,169,"Tourism",13750,980
"2680",5287.21,0.5,"Maxi",2,2,"Biannual","No","WorkPrivate","29272","Yes",52,23,"M","F",33,5,5,1398,68,"Diesel","PEUGEOT","207",5,4,166,"Tourism",16500,1186
"2681",897.53,0.5,"Maxi",13,4,"Biannual","No","WorkPrivate","71040","Yes",59,23,"M","F",40,111,5,2188,150,"Diesel","HYUNDAI","SANTA FE",5,5,179,"Tourism",35550,1913
"2682",282.61,0.5,"Maxi",8,6,"Biannual","No","Retired","73153","No",67,0,"M","",45,0,10,1390,75,"Gasoline","RENAULT","KANGOO",13,12,155,"Tourism",12959,1065
"2683",727.07,0.5,"Maxi",1,1,"Quarterly","No","Retired","29046","No",65,0,"M","",46,0,3,2034,136,"Gasoline","MERCEDES BENZ","A200",7,1,200,"Tourism",26250,1195
"2684",1236,0.5,"Maxi",14,3,"Monthly","No","Professional","28337","Yes",49,51,"M","F",31,32,11,2495,123,"Diesel","LAND ROVER","DEFENDER",12,10,130,"Commercial",23310,1740
"2685",613.81,0.5,"Maxi",5,3,"Yearly","No","WorkPrivate","94038","No",52,0,"F","",31,0,4,1560,90,"Diesel","PEUGEOT","207",5,4,182,"Tourism",15150,1282
"2686",419.37,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","02554","Yes",44,47,"F","M",16,28,3,1461,68,"Diesel","DACIA","LOGAN",5,3,158,"Tourism",10190,1065
"2687",1265.9,0.52,"Maxi",1,1,"Yearly","No","Professional","95252","No",40,0,"M","",15,0,5,2995,249,"Gasoline","LEXUS","GS 300",6,3,240,"Tourism",54500,1665
"2688",968.11,0.5,"Median2",22,3,"Biannual","No","WorkPrivate","22054","Yes",55,34,"M","F",35,15,18,1896,62,"Diesel","VOLKSWAGEN","TRANSPORTER",21,19,128,"Commercial",17521,0
"2689",168.65,0.5,"Maxi",12,1,"Biannual","No","WorkPrivate","54486","No",39,0,"F","",13,0,1,1461,111,"Diesel","RENAULT","MEGANE",2,1,190,"Tourism",24400,1205
"2690",-782.25,0.5,"Median2",16,5,"Yearly","No","WorkPrivate","62390","No",48,0,"F","",28,0,13,973,55,"Gasoline","OPEL","CORSA",14,11,150,"Tourism",9140,930
"2691",2683.76,0.5,"Maxi",3,3,"Yearly","No","WorkPrivate","92002","No",47,0,"F","",28,0,6,1984,150,"Gasoline","VOLKSWAGEN","GOLF",7,6,202,"Tourism",23870,1314
"2692",1236,0.63,"Maxi",2,2,"Yearly","No","WorkPrivate","75111","No",36,0,"M","",18,0,6,3498,272,"Gasoline","MERCEDES BENZ","ML350",6,1,225,"Tourism",57600,2060
"2693",1010.41,0.9,"Median2",2,2,"Quarterly","No","WorkPrivate","92040","No",34,0,"M","",12,0,9,1149,59,"Gasoline","RENAULT","TWINGO",13,11,151,"Tourism",8522,823
"2694",2652.83,0.5,"Maxi",2,1,"Biannual","No","WorkPrivate","92077","No",46,0,"M","",27,0,6,2179,130,"Diesel","PEUGEOT","807",9,6,182,"Tourism",33450,1648
"2695",872.29,0.57,"Median2",14,2,"Monthly","No","WorkPrivate","69260","No",48,0,"M","",29,0,9,1997,85,"Diesel","PEUGEOT","BOXER",10,9,130,"Commercial",21074,0
"2696",240.22,0.54,"Median2",11,2,"Monthly","No","WorkPrivate","80451","Yes",37,32,"M","F",15,11,12,1769,60,"Diesel","CITROEN","C15",27,13,134,"Commercial",12190,1530
"2697",192.45,1,"Maxi",1,1,"Yearly","No","WorkPrivate","94042","No",20,0,"F","",1,0,1,998,68,"Gasoline","PEUGEOT","107",6,1,157,"Tourism",10650,800
"2698",575.34,0.5,"Maxi",12,1,"Yearly","No","WorkPrivate","59456","Yes",45,23,"M","F",27,2,4,1560,90,"Diesel","PEUGEOT","207",5,4,182,"Tourism",15150,1282
"2699",395.94,0.5,"Median2",1,1,"Monthly","No","Retired","09160","No",73,0,"F","",36,0,13,1870,64,"Diesel","RENAULT","CLIO",13,11,161,"Tourism",12334,985
"2700",1466.95,0.5,"Median2",9,7,"Biannual","No","WorkPrivate","94016","No",57,0,"M","",32,0,12,1390,96,"Gasoline","RENAULT","MEGANE",12,11,185,"Tourism",14315,1080
"2701",-640.69,0.5,"Mini",21,13,"Biannual","No","Professional","73008","Yes",74,37,"M","F",51,17,15,1975,73,"Diesel","TOYOTA","COROLLA",18,17,165,"Tourism",14247,1110
"2702",1427.74,0.5,"Maxi",1,1,"Monthly","No","Retired","77243","No",65,0,"F","",45,0,1,1397,96,"Gasoline","PEUGEOT","207",1,1,185,"Tourism",16250,1159
"2703",1016.24,0.5,"Maxi",27,1,"Yearly","No","WorkPrivate","66136","No",67,0,"M","",49,0,1,1329,101,"Gasoline","TOYOTA","YARIS",1,1,175,"Tourism",14800,1050
"2704",789.99,0.5,"Maxi",17,1,"Biannual","No","Retired","69028","No",75,0,"M","",57,0,1,998,68,"Gasoline","CITROEN","C1",6,2,157,"Tourism",8700,845
"2705",3134.31,0.5,"Maxi",9,2,"Yearly","No","Professional","69273","No",53,0,"M","",33,0,3,1461,111,"Diesel","RENAULT","LAGUNA",4,2,192,"Tourism",25600,1386
"2706",711.75,0.5,"Maxi",21,3,"Biannual","No","Professional","73179","No",39,0,"M","",21,0,11,1997,90,"Diesel","PEUGEOT","206",12,6,180,"Tourism",16200,1010
"2707",77.86,0.5,"Maxi",27,1,"Monthly","No","WorkPrivate","22278","Yes",66,58,"M","F",48,39,8,1997,90,"Diesel","CITROEN","XSARA",12,6,175,"Tourism",20750,1320
"2708",-391.64,0.5,"Maxi",11,1,"Yearly","No","Retired","81065","No",79,0,"M","",52,0,2,1560,90,"Diesel","PEUGEOT","207",5,2,182,"Tourism",18750,1205
"2709",-334.07,0.57,"Median2",12,3,"Biannual","No","WorkPrivate","75113","No",41,0,"M","",22,0,17,1360,75,"Gasoline","CITROEN","ZX",19,14,172,"Tourism",13309,945
"2710",344.87,0.5,"Maxi",19,1,"Monthly","Yes","Retired","84007","No",71,0,"F","",50,0,2,1242,70,"Gasoline","FIAT","500",4,2,160,"Tourism",13090,865
"2711",106.14,0.5,"Median2",21,11,"Biannual","No","WorkPrivate","59205","No",54,0,"M","",20,0,15,954,51,"Gasoline","PEUGEOT","106",15,13,150,"Tourism",9590,815
"2712",378.51,0.5,"Maxi",19,2,"Yearly","No","Retired","50129","Yes",67,66,"M","F",48,35,10,1998,150,"Gasoline","TOYOTA","RAV4",11,8,175,"Tourism",25000,1365
"2713",3288.46,0.5,"Maxi",11,3,"Monthly","No","WorkPrivate","12281","No",52,0,"F","",30,0,4,1328,93,"Gasoline","SUZUKI","SWIFT",6,3,175,"Tourism",15530,990
"2714",138.47,0.5,"Maxi",1,1,"Biannual","No","WorkPrivate","95060","Yes",64,69,"F","M",46,50,1,998,68,"Gasoline","PEUGEOT","107",6,1,157,"Tourism",9450,790
"2715",130.11,0.64,"Maxi",1,1,"Monthly","No","WorkPrivate","60693","No",34,0,"M","",15,0,3,1461,86,"Diesel","DACIA","LOGAN",3,1,161,"Tourism",15150,1255
"2716",311.4,0.5,"Maxi",6,2,"Yearly","No","WorkPrivate","83042","No",51,0,"F","",32,0,6,1390,98,"Gasoline","RENAULT","MODUS",7,6,177,"Tourism",15000,1160
"2717",92,0.5,"Maxi",27,2,"Biannual","No","Retired","51454","Yes",80,74,"M","F",61,46,2,1560,109,"Diesel","CITROEN","C4",7,3,192,"Tourism",25000,1280
"2718",4872.86,0.5,"Maxi",33,1,"Yearly","No","WorkPrivate","88045","Yes",61,59,"M","F",42,38,10,1997,90,"Diesel","PEUGEOT","206",12,6,180,"Tourism",16200,1010
"2719",1010.41,0.5,"Maxi",26,8,"Biannual","No","Retired","62755","Yes",83,80,"M","F",51,36,8,1587,109,"Gasoline","PEUGEOT","307",10,7,190,"Tourism",18350,1193
"2720",135.27,0.8,"Median1",5,5,"Monthly","No","WorkPrivate","37261","No",56,0,"F","",29,0,22,1390,81,"Gasoline","RENAULT","R19",23,19,173,"Tourism",12067,940
"2721",1704.21,0.5,"Maxi",25,1,"Monthly","No","WorkPrivate","88413","No",60,0,"F","",35,0,1,1248,75,"Diesel","FIAT","PUNTO",2,1,165,"Tourism",14090,1090
"2722",420.64,0.68,"Maxi",4,4,"Monthly","No","Retired","01305","Yes",83,79,"M","F",60,42,13,1905,90,"Diesel","CITROEN","XSARA",14,11,178,"Tourism",19666,1152
"2723",2472,0.5,"Median2",28,5,"Biannual","No","WorkPrivate","76366","Yes",56,61,"F","M",36,43,15,1239,55,"Gasoline","RENAULT","TWINGO",16,14,150,"Tourism",9041,790
"2724",2683.76,0.5,"Maxi",7,2,"Yearly","No","WorkPrivate","78297","No",48,0,"M","",28,0,8,1896,131,"Diesel","AUDI","A3",11,8,205,"Tourism",29070,1200
"2725",261.65,0.5,"Maxi",4,1,"Biannual","No","WorkPrivate","14117","No",58,0,"F","",35,0,4,1248,90,"Diesel","LANCIA","MUSA",5,5,173,"Tourism",23800,1205
"2726",1236,0.5,"Maxi",2,2,"Quarterly","No","WorkPrivate","59329","Yes",52,20,"F","F",30,2,5,1149,59,"Gasoline","RENAULT","CLIO",10,8,160,"Tourism",11250,890
"2727",1010.41,0.5,"Maxi",15,2,"Monthly","No","Retired","14384","No",63,0,"M","",45,0,3,1560,109,"Diesel","CITROEN","C4 PICASSO",3,1,180,"Tourism",28650,1489
"2728",1010.41,1,"Median2",1,1,"Monthly","No","WorkPrivate","60575","No",19,0,"M","",1,0,11,1868,70,"Diesel","PEUGEOT","206",13,8,161,"Tourism",12750,1010
"2729",2016.01,0.56,"Maxi",26,3,"Yearly","No","Retired","38422","Yes",68,69,"F","M",39,48,5,2488,134,"Diesel","NISSAN","PICK UP",9,5,160,"Commercial",27747,2860
"2730",5051.31,0.5,"Maxi",3,3,"Biannual","No","WorkPrivate","51454","No",51,0,"F","",33,0,3,1398,68,"Diesel","FORD","FIESTA",9,3,164,"Tourism",15800,1070
"2731",1909.71,0.62,"Maxi",20,1,"Monthly","No","WorkPrivate","39319","Yes",55,21,"M","F",35,2,8,1997,90,"Diesel","CITROEN","XSARA",10,6,175,"Tourism",22450,1300
"2732",4353.31,0.5,"Maxi",2,2,"Biannual","No","WorkPrivate","57039","Yes",55,56,"M","F",36,34,9,1149,75,"Gasoline","RENAULT","CLIO",10,8,170,"Tourism",11250,910
"2733",510.79,0.76,"Median1",3,3,"Monthly","No","WorkPrivate","45234","No",59,0,"M","",36,0,14,2088,111,"Diesel","PEUGEOT","605",19,14,192,"Tourism",26496,1430
"2734",274.58,0.5,"Maxi",10,2,"Monthly","No","WorkPrivate","45082","No",50,0,"F","",31,0,2,1390,75,"Gasoline","DACIA","SANDERO",2,1,161,"Tourism",9890,1036
"2735",522.05,0.5,"Maxi",3,3,"Biannual","No","Retired","44128","No",75,0,"M","",50,0,12,1998,109,"Diesel","PEUGEOT","406",13,8,191,"Tourism",21300,1485
"2736",317.92,0.5,"Maxi",3,3,"Yearly","No","Retired","51316","No",63,0,"M","",40,0,3,1461,64,"Diesel","RENAULT","CLIO",4,1,162,"Commercial",13754,980
"2737",834.88,0.5,"Maxi",4,4,"Monthly","No","WorkPrivate","76296","Yes",70,24,"F","F",42,6,13,1905,70,"Diesel","PEUGEOT","306",13,12,160,"Tourism",14376,1080
"2738",75.88,0.76,"Median2",6,2,"Biannual","No","WorkPrivate","02215","Yes",41,37,"M","F",21,18,12,954,51,"Gasoline","CITROEN","SAXO",15,13,149,"Tourism",8980,805
"2739",1236,0.5,"Maxi",11,3,"Biannual","No","WorkPrivate","87065","Yes",51,51,"M","F",31,32,14,1761,111,"Gasoline","CITROEN","XANTIA",15,13,192,"Tourism",18050,1234
"2740",2113.98,0.5,"Maxi",5,5,"Biannual","No","WorkPrivate","91549","Yes",49,46,"M","F",28,26,5,1995,150,"Diesel","RENAULT","SCENIC",5,2,204,"Tourism",30650,1535
"2741",-673.96,0.95,"Maxi",2,1,"Yearly","No","WorkPrivate","38528","No",23,0,"F","",2,0,7,1199,75,"Gasoline","OPEL","CORSA",8,7,170,"Tourism",11530,960
"2742",205.41,0.5,"Median2",12,2,"Biannual","No","WorkPrivate","85112","Yes",36,41,"F","M",17,22,19,1171,60,"Gasoline","RENAULT","CLIO",21,18,155,"Tourism",9300,820
"2743",343.87,0.5,"Maxi",5,3,"Yearly","No","Retired","57463","No",66,0,"M","",28,0,9,1997,94,"Diesel","PEUGEOT","EXPERT",11,5,160,"Commercial",22306,0
"2744",4965.96,0.54,"Maxi",7,7,"Monthly","No","WorkPrivate","70339","No",54,0,"M","",34,0,7,1997,90,"Diesel","PEUGEOT","206",9,6,180,"Tourism",15950,1010
"2745",282.02,0.54,"Maxi",8,1,"Monthly","No","WorkPrivate","78208","Yes",33,31,"F","M",14,13,5,1968,170,"Diesel","AUDI","A4",5,3,222,"Tourism",35570,1520
"2746",157.45,0.5,"Maxi",16,1,"Yearly","Yes","Retired","15154","No",80,0,"F","",50,0,10,1149,75,"Gasoline","RENAULT","TWINGO",11,5,170,"Tourism",10500,845
"2747",1236,0.5,"Maxi",27,3,"Yearly","No","Retired","85092","No",83,0,"M","",60,0,11,1998,109,"Diesel","PEUGEOT","406",13,8,185,"Tourism",22100,1535
"2748",618,0.5,"Median1",23,5,"Yearly","No","WorkPrivate","35124","No",45,0,"F","",23,0,19,1896,62,"Diesel","VOLKSWAGEN","TRANSPORTER",21,15,128,"Tourism",22555,1520
"2749",2627.43,0.5,"Maxi",13,3,"Yearly","No","Retired","69387","No",79,0,"F","",59,0,4,1390,98,"Gasoline","RENAULT","MODUS",7,6,177,"Tourism",15000,1160
"2750",969.44,0.72,"Maxi",26,2,"Biannual","No","WorkPrivate","86194","No",57,0,"M","",37,0,3,1997,136,"Diesel","VOLVO","S40",8,1,205,"Tourism",25850,1387
"2751",370.37,0.5,"Median1",10,2,"Yearly","No","WorkPrivate","76614","Yes",33,33,"M","F",15,14,15,1896,64,"Diesel","VOLKSWAGEN","POLO",15,12,160,"Tourism",12593,960
"2752",-454.26,0.5,"Median2",17,2,"Yearly","No","WorkPrivate","35051","No",47,0,"F","",26,0,13,954,51,"Gasoline","CITROEN","AX",19,18,149,"Tourism",8004,1140
"2753",502.42,0.5,"Maxi",16,1,"Biannual","No","Professional","11255","No",62,0,"F","",43,0,11,1951,136,"Diesel","BMW","320",13,10,207,"Tourism",28000,1450
"2754",507.19,0.64,"Median2",3,2,"Monthly","No","WorkPrivate","38189","No",31,0,"M","",12,0,8,2171,125,"Diesel","OPEL","VECTRA",9,7,206,"Tourism",26350,1342
"2755",396.1,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","33043","Yes",43,50,"F","M",22,25,5,1560,109,"Diesel","PEUGEOT","206",7,5,183,"Tourism",19050,950
"2756",1900.46,0.5,"Maxi",4,2,"Yearly","No","WorkPrivate","30351","No",61,0,"F","",32,0,3,1360,75,"Gasoline","CITROEN","C2",8,6,169,"Tourism",11600,991
"2757",146.6,0.5,"Maxi",16,1,"Yearly","Yes","WorkPrivate","67948","No",38,0,"F","",18,0,2,1198,60,"Gasoline","VOLKSWAGEN","POLO",4,2,157,"Tourism",11450,1014
"2758",528.63,0.5,"Maxi",7,1,"Biannual","No","WorkPrivate","73322","No",74,0,"F","",46,0,2,1360,74,"Gasoline","CITROEN","C3",2,1,163,"Tourism",15800,1030
"2759",547.19,0.5,"Maxi",19,4,"Monthly","No","WorkPrivate","21128","Yes",45,32,"M","F",24,11,7,1997,90,"Diesel","CITROEN","BERLINGO",9,6,160,"Tourism",16750,1311
"2760",1200,0.5,"Mini",6,1,"Yearly","Yes","WorkPrivate","30259","No",61,0,"M","",42,0,17,1686,60,"Diesel","OPEL","CORSA",18,15,142,"Commercial",12080,1085
"2761",460.94,0.5,"Maxi",23,1,"Yearly","No","WorkPrivate","67421","No",62,0,"F","",30,0,3,1560,109,"Diesel","PEUGEOT","207",4,1,193,"Tourism",21450,1275
"2762",1307,0.5,"Maxi",2,2,"Monthly","No","Retired","93078","No",62,0,"M","",37,0,7,2685,164,"Diesel","JEEP","CHEROKEE",10,6,182,"Tourism",47690,1898
"2763",352.3,0.5,"Maxi",4,1,"Monthly","No","WorkPrivate","31150","No",41,0,"F","",22,0,1,1461,64,"Diesel","RENAULT","CLIO",2,1,162,"Tourism",12249,1015
"2764",5941.07,0.5,"Maxi",12,1,"Biannual","No","WorkPrivate","38111","Yes",44,42,"M","F",25,24,3,2993,245,"Diesel","BMW","330",3,1,250,"Tourism",49000,1600
"2765",-149.41,0.5,"Maxi",24,2,"Monthly","No","WorkPrivate","13209","Yes",55,52,"F","M",30,31,2,1598,134,"Gasoline","RENAULT","TWINGO",3,1,201,"Tourism",16000,1049
"2766",267.34,0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","78068","Yes",57,57,"M","F",39,35,2,1870,131,"Diesel","RENAULT","SCENIC",2,1,195,"Tourism",28600,1430
"2767",658.96,0.5,"Maxi",13,1,"Yearly","Yes","Retired","13075","No",80,0,"F","",44,0,13,1392,87,"Gasoline","NISSAN","ALMERA",16,14,172,"Tourism",10657,1035
"2768",251.15,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","23176","Yes",43,52,"M","F",24,33,5,1870,131,"Diesel","RENAULT","LAGUNA",6,5,200,"Tourism",25000,1350
"2769",329.22,0.5,"Median2",6,4,"Yearly","No","Retired","95063","No",74,0,"M","",52,0,11,1390,96,"Gasoline","RENAULT","MEGANE",12,11,185,"Tourism",15535,1080
"2770",193.75,0.64,"Maxi",2,2,"Biannual","No","WorkPrivate","75115","Yes",34,33,"M","F",16,6,6,2393,177,"Gasoline","AUDI","A6",7,3,231,"Tourism",40140,1525
"2771",1236,0.5,"Maxi",2,2,"Yearly","No","Retired","63090","Yes",67,67,"M","F",48,47,6,2200,121,"Diesel","CHRYSLER","PT CRUISER",9,7,183,"Tourism",25000,1400
"2772",1442.87,0.5,"Maxi",2,2,"Biannual","No","Professional","92040","No",33,0,"M","",15,0,2,1896,105,"Diesel","VOLKSWAGEN","CADDY",5,1,166,"Commercial",19925,2235
"2773",502.67,0.5,"Maxi",11,1,"Biannual","No","WorkPrivate","56173","No",38,0,"M","",19,0,12,1596,101,"Gasoline","FORD","FOCUS",13,7,185,"Tourism",18300,1077
"2774",2615.64,0.5,"Maxi",23,1,"Yearly","No","WorkPrivate","57757","No",49,0,"M","",31,0,1,1560,109,"Diesel","PEUGEOT","3008",2,1,180,"Tourism",25550,1425
"2775",521.08,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","77249","Yes",50,50,"M","F",31,30,15,1896,90,"Diesel","FORD","GALAXY",16,11,160,"Tourism",26633,1650
"2776",2207.19,0.51,"Maxi",12,3,"Monthly","No","WorkPrivate","74010","No",38,0,"M","",18,0,4,1461,106,"Diesel","RENAULT","MEGANE",6,5,185,"Tourism",21500,1205
"2777",1619.02,0.85,"Maxi",1,1,"Biannual","Yes","WorkPrivate","25496","No",21,0,"M","",3,0,6,1198,64,"Gasoline","VOLKSWAGEN","POLO",7,7,162,"Tourism",13040,1173
"2778",1236,0.5,"Maxi",13,1,"Monthly","No","WorkPrivate","30028","Yes",66,70,"F","M",44,49,2,1124,60,"Gasoline","PEUGEOT","206",2,1,155,"Tourism",11550,945
"2779",1236,0.5,"Maxi",12,1,"Biannual","No","WorkPrivate","85160","Yes",42,38,"F","M",24,20,15,1360,75,"Gasoline","PEUGEOT","306",18,15,165,"Tourism",13904,1020
"2780",-162.77,0.5,"Maxi",18,4,"Biannual","No","WorkPrivate","76402","Yes",57,29,"F","M",26,11,4,1242,60,"Gasoline","FIAT","PUNTO",8,7,155,"Tourism",10400,875
"2781",676.78,0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","75120","Yes",66,66,"F","M",45,47,9,1868,70,"Diesel","FIAT","SCUDO",9,8,138,"Commercial",21468,0
"2782",1651.01,0.5,"Maxi",2,2,"Yearly","No","Retired","13212","No",68,0,"F","",48,0,6,1299,70,"Gasoline","FORD","FIESTA",9,5,161,"Tourism",11540,1030
"2783",106.14,0.5,"Maxi",20,4,"Monthly","No","WorkPrivate","44109","Yes",54,49,"M","F",32,28,12,1997,111,"Diesel","PEUGEOT","806",12,11,175,"Tourism",27441,1595
"2784",-401.65,0.5,"Mini",18,2,"Yearly","No","WorkPrivate","81097","No",67,0,"M","",49,0,15,1124,60,"Gasoline","CITROEN","SAXO",15,11,162,"Tourism",8919,805
"2785",1236,0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","59273","Yes",55,54,"M","F",33,29,3,2149,170,"Diesel","MERCEDES BENZ","C220",4,2,229,"Tourism",34250,1510
"2786",1511.09,0.5,"Maxi",14,4,"Biannual","No","Retired","13214","Yes",83,78,"M","F",62,43,4,1360,89,"Gasoline","PEUGEOT","207",5,4,180,"Tourism",13900,1219
"2787",535.68,0.5,"Maxi",27,1,"Biannual","No","Retired","39300","No",64,0,"F","",46,0,8,1390,75,"Gasoline","VOLKSWAGEN","POLO",10,7,175,"Tourism",14920,1018
"2788",1114.09,0.5,"Median2",2,1,"Monthly","No","WorkPrivate","59350","Yes",45,23,"F","M",20,5,11,1997,90,"Diesel","PEUGEOT","306",12,10,180,"Tourism",18035,1155
"2789",380.78,0.54,"Maxi",11,1,"Yearly","No","WorkPrivate","42185","Yes",37,36,"F","M",18,18,4,1560,90,"Diesel","FORD","FIESTA",6,4,180,"Tourism",15390,1100
"2790",21826.96,1,"Median1",1,1,"Monthly","No","WorkPrivate","85194","No",47,0,"F","",3,0,10,1598,111,"Gasoline","RENAULT","SCENIC",12,10,185,"Tourism",19362,1260
"2791",897.75,0.5,"Maxi",7,7,"Yearly","No","WorkPrivate","94081","No",64,0,"F","",32,0,13,1275,75,"Gasoline","NISSAN","MICRA",15,13,165,"Tourism",12791,840
"2792",615.08,0.5,"Maxi",25,3,"Monthly","No","Retired","22143","No",61,0,"M","",42,0,7,1896,131,"Diesel","VOLKSWAGEN","PASSAT",11,7,208,"Tourism",25500,1375
"2793",-907.69,0.5,"Median1",5,2,"Monthly","No","WorkPrivate","51108","No",40,0,"M","",19,0,21,1588,55,"Diesel","VOLKSWAGEN","GOLF",27,21,148,"Tourism",12574,900
"2794",1206.51,0.57,"Maxi",2,2,"Monthly","No","WorkPrivate","49007","No",37,0,"F","",12,0,9,1870,101,"Diesel","RENAULT","LAGUNA",10,7,185,"Tourism",23300,1315
"2795",3341.21,0.5,"Maxi",25,2,"Biannual","No","WorkPrivate","64483","No",64,0,"F","",41,0,2,1124,60,"Gasoline","CITROEN","C3",2,1,153,"Tourism",12150,1010
"2796",320.41,0.5,"Maxi",9,1,"Yearly","No","Professional","64101","No",56,0,"M","",36,0,2,1910,105,"Diesel","FIAT","DOBLO",5,2,168,"Commercial",16947,1320
"2797",445.29,0.5,"Mini",8,2,"Quarterly","No","WorkPrivate","74104","No",59,0,"M","",41,0,17,2496,68,"Diesel","FORD","TRANSIT",21,19,120,"Commercial",18797,0
"2798",1510.74,0.5,"Maxi",23,10,"Yearly","No","Retired","52353","Yes",78,77,"M","F",50,50,15,1870,94,"Diesel","RENAULT","MEGANE",16,15,180,"Tourism",18188,1130
"2799",2112.15,0.5,"Maxi",6,2,"Biannual","No","WorkPrivate","70445","No",44,0,"M","",26,0,6,2401,164,"Diesel","VOLVO","XC90",8,6,185,"Tourism",61600,1536
"2800",-624.25,0.5,"Maxi",21,4,"Monthly","No","WorkPrivate","59482","No",55,0,"F","",33,0,5,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"2801",1236,0.5,"Median2",15,3,"Biannual","No","Retired","42095","No",69,0,"M","",47,0,18,2165,140,"Gasoline","RENAULT","SAFRANE",19,16,206,"Tourism",27899,1410
"2802",69.31,0.5,"Maxi",18,2,"Yearly","No","Professional","75109","Yes",72,77,"F","M",29,51,10,1390,96,"Gasoline","RENAULT","CLIO",11,10,186,"Tourism",16770,980
"2803",476.68,0.51,"Maxi",5,5,"Biannual","No","WorkPrivate","33063","Yes",39,39,"M","F",20,21,13,1397,82,"Gasoline","MERCEDES BENZ","A140",13,7,170,"Tourism",17780,1010
"2804",1509.48,0.5,"Maxi",12,1,"Yearly","No","Retired","85292","No",77,0,"M","",58,0,7,1598,101,"Gasoline","OPEL","MERIVA",8,7,175,"Tourism",13880,1300
"2805",-810.38,0.5,"Maxi",26,4,"Yearly","No","Retired","11262","No",77,0,"F","",59,0,4,1298,87,"Gasoline","TOYOTA","YARIS",6,2,170,"Tourism",13100,1010
"2806",230.03,0.5,"Median2",26,4,"Yearly","No","Professional","59014","No",55,0,"M","",33,0,17,2499,104,"Diesel","UNIC","DAILY 35",23,15,120,"Commercial",29601,0
"2807",236.3,0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","92063","Yes",34,38,"F","M",15,20,7,1870,120,"Diesel","RENAULT","SCENIC",8,6,188,"Tourism",26300,1430
